ID,type,city,postcode,lat,lon,rentGross,livingSpace,numberOfRooms,yearBuilt,hasBalcony,hasElevator,hasParking
4000795123,"['APARTMENT', 'FLAT']",Altdorf,6460,46.876811781975,8.632112311602,1780.0,85.0,3.5,2024.0,True,True,True
4001144542,"['APARTMENT', 'ROOF_FLAT']",St. Gallen,9008,47.435731781971,9.387302311603,1190.0,55.0,3.5,1965.0,False,False,True
4001144526,"['APARTMENT', 'FLAT']",Binningen,4102,47.545191781973,7.563092311606,1840.0,72.0,2.5,2014.0,False,False,True
4001144525,"['APARTMENT', 'FLAT']",Studen,2557,47.117251781977,7.293442311601,1660.0,79.0,3.5,2021.0,True,False,False
4001020083,"['APARTMENT', 'FLAT']",Basel,4053,47.538171781979,7.600272311601,1300.0,50.0,2.0,1952.0,True,False,False
4001144438,"['APARTMENT', 'FLAT']",Gelterkinden,4460,47.460171781971,7.861742311604,1255.0,40.0,1.5,2024.0,False,True,False
4001144437,"['APARTMENT', 'FLAT']",Buchs,5033,47.392421781976,8.082242311602,1480.0,60.0,3.0,2014.0,True,False,True
4000793124,"['APARTMENT', 'FLAT']",Zürich,8005,47.387081781972,8.516112311606,4280.0,109.0,2.5,2015.0,False,True,False
4001094596,"['APARTMENT', 'ATTIC_FLAT']",Zürich,8037,47.392711781975,8.527182311604,4920.0,105.0,2.5,1907.0,True,True,True
4001144104,"['APARTMENT', 'FLAT']",La Tour-de-Peilz,1814,46.457211781978,6.869262311607,1840.0,56.0,3.5,2014.0,True,True,True
4001144074,"['APARTMENT', 'DUPLEX']",Siblingen,8225,47.714271781976,8.519942311606,1600.0,100.0,3.5,1960.0,True,False,True
4001144018,"['APARTMENT', 'ROOF_FLAT']",Wittenbach,9300,47.463661781974,9.379262311603,1000.0,50.0,2.0,1920.0,False,False,False
4001143948,"['APARTMENT', 'ROOF_FLAT']",Bern,3005,46.941551781972,7.447882311601,3415.0,114.0,3.5,1939.0,True,False,False
4001143785,"['APARTMENT', 'FLAT']",Bäretswil,8344,47.336881781972,8.866682311602,2800.0,135.0,5.5,1996.0,True,False,True
4001143773,"['APARTMENT', 'STUDIO']",Schmerikon,8716,47.228391781975,8.959592311602,790.0,20.0,1.0,2015.0,False,False,True
4001143672,"['APARTMENT', 'FLAT']",Starrkirch-Wil,4656,47.352301781971,7.925732311603,1370.0,75.0,3.5,2014.0,True,False,False
4001071112,"['APARTMENT', 'FLAT']",Solothurn,4500,47.204951781971,7.540522311601,1990.0,73.0,3.5,2014.0,False,True,False
4001071111,"['APARTMENT', 'DUPLEX']",Solothurn,4500,47.204951781971,7.540522311601,2050.0,100.0,4.0,2014.0,False,True,False
4001143223,"['APARTMENT', 'FLAT']",Münchenbuchsee,3053,47.020861781973,7.455722311607,1208.0,60.0,3.0,1969.0,True,False,False
4001143221,"['APARTMENT', 'FLAT']",Thun,3600,46.760091781977,7.628782311605,1420.0,75.0,3.0,1978.0,False,False,False
4001140059,"['APARTMENT', 'FLAT']",Moutier,2740,47.280611781977,7.369732311608,1200.0,125.0,4.0,2014.0,False,True,False
